iter	RMSE
0	170590.2917
1	167605.9124
2	164785.9321
3	161876.8098
4	158727.2297
5	155875.8016
6	153264.0073
7	150045.4796
8	148047.6623
9	145155.6192
10	142941.907
11	141309.8227
12	139475.0487
13	137885.8694
14	136190.0193
15	134297.3736
16	133694.1165
17	132386.3662
18	131303.2535
19	129483.0764
20	127829.9284
21	126478.0662
22	125714.5407
23	124882.0366
24	124242.6773
25	123401.3164
26	122406.9279
27	121884.6715
28	121023.7684
29	120244.2807
30	119353.3356
31	118529.0407
32	118088.5129
33	117332.9961
34	116687.5251
35	116001.9273
36	115303.5221
37	114916.3249
38	114286.5599
39	113925.1363
40	113632.5625
41	113057.715
42	112718.5368
43	112200.7248
44	111526.3466
45	111156.6969
46	110601.2905
47	110109.6026
48	109782.0388
49	109367.9416
50	108951.717
51	108832.4827
52	108551.985
53	108374.4911
54	108151.9231
55	107750.2184
56	107279.0416
57	106868.1932
58	106406.6854
59	106241.2262
60	105812.0059
61	105581.0897
62	105436.0649
63	105074.2671
64	104890.1376
65	104686.304
66	104477.1814
67	104211.3032
68	104038.9503
69	103902.7221
70	103746.1538
71	103550.5721
72	103195.3567
73	103058.3657
74	102883.3886
75	102745.0034
76	102571.2141
77	102311.8157
78	101998.0554
79	101900.1215
80	101847.5968
81	101761.2354
82	101607.7475
83	101281.8493
84	101185.6179
85	101086.8853
86	100827.1833
87	100749.1449
88	100693.9429
89	100580.8874
90	100364.8095
91	100260.0291
92	100125.4844
93	100039.2079
94	99948.81503
95	99747.61938
96	99685.24626
97	99526.29305
98	99526.27958
99	99414.11781
100	99320.79234
101	99245.33257
102	99142.22159
103	99001.19419
104	98931.4674
105	98865.59061
106	98808.73809
107	98808.73094
108	98749.25721
109	98569.1992
110	98426.70798
111	98246.12934
112	98160.66341
113	98020.55804
114	97925.86808
115	97806.04715
116	97740.64175
117	97690.67438
118	97570.8747
119	97384.35701
120	97280.52129
121	97205.11027
122	97154.73111
123	97066.16912
124	96827.97612
125	96757.66244
126	96688.08927
127	96543.45976
128	96437.77044
129	96338.30187
130	96320.81092
131	96286.48083
132	96176.1848
133	96036.59576
134	95937.32595
135	95779.22664
136	95644.60303
137	95425.40747
138	95336.04494
139	95273.47222
140	95209.7095
141	95193.19511
142	95124.85931
143	94940.70781
144	94741.05399
145	94676.70502
146	94551.26331
147	94484.57764
148	94361.79314
149	94270.91718
150	94068.31433
151	93948.16718
152	93822.53133
153	93686.78668
154	93573.53124
155	93392.95121
156	93240.34951
157	93047.15195
158	92986.99136
159	92834.64319
160	92669.94067
161	92521.63581
162	92340.97966
163	92244.74429
164	92049.30834
165	91968.56103
166	91873.85891
167	91781.76939
168	91718.52843
169	91575.73496
170	91476.11031
171	91206.53299
172	91099.16815
173	90918.06767
174	90856.88988
175	90721.84862
176	90603.65225
177	90534.88447
178	90389.59098
179	90317.32536
180	90252.8897
181	90153.62526
182	90055.6851
183	89956.22007
184	89847.10391
185	89816.13729
186	89750.24969
187	89648.6163
188	89550.28618
189	89447.59092
190	89296.07608
191	89207.56696
192	89116.27529
193	89024.09785
194	89019.00125
195	88957.749
196	88865.28511
197	88861.50881
198	88797.21872
199	88793.39377
200	88668.14813
201	88567.47869
202	88489.17209
203	88486.61635
204	88393.6146
205	88291.39949
206	88211.80524
207	88143.73791
208	88066.05097
209	88010.51733
210	88007.49297
211	87947.78198
212	87872.39889
213	87785.3222
214	87731.226
215	87700.82654
216	87641.58832
217	87638.93356
218	87636.6011
219	87580.26519
220	87528.74741
221	87429.31866
222	87359.44053
223	87268.86167
224	87263.01126
225	87208.44896
226	87207.65143
227	87128.3254
228	87057.40136
229	87006.66632
