iter	Passed	Remaining
0	5	8912
1	12	9246
2	16	8229
3	23	8844
4	27	8360
5	31	7783
6	35	7569
7	39	7439
8	42	7020
9	46	6982
10	53	7218
11	60	7503
12	63	7233
13	68	7222
14	73	7233
15	78	7261
16	79	6961
17	85	7028
18	89	6970
19	95	7075
20	101	7162
21	230	15513
22	237	15237
23	249	15317
24	263	15568
25	269	15258
26	273	14947
27	278	14615
28	284	14416
29	290	14234
30	295	14024
31	300	13779
32	304	13526
33	309	13336
34	313	13131
35	318	12938
36	322	12749
37	327	12585
38	332	12441
39	337	12334
40	341	12167
41	347	12047
42	350	11882
43	355	11753
44	360	11664
45	365	11561
46	371	11480
47	376	11402
48	381	11285
49	386	11194
50	390	11096
51	392	10923
52	396	10817
53	402	10773
54	407	10707
55	412	10642
56	417	10564
57	422	10513
58	427	10435
59	432	10373
60	438	10339
61	444	10320
62	450	10273
63	453	10185
64	458	10112
65	463	10060
66	467	9990
67	474	9992
68	479	9936
69	483	9878
70	486	9800
71	491	9747
72	495	9685
73	500	9644
74	505	9607
75	510	9566
76	514	9515
77	519	9477
78	525	9448
79	530	9410
80	534	9354
81	539	9331
82	544	9292
83	549	9266
84	553	9216
85	560	9218
86	575	9349
87	589	9454
88	597	9475
89	608	9533
90	619	9593
91	626	9587
92	634	9605
93	644	9644
94	652	9646
95	659	9648
96	666	9636
97	672	9614
98	673	9530
99	681	9541
100	688	9535
101	695	9531
102	702	9532
103	708	9506
104	712	9469
105	717	9440
106	721	9396
107	722	9317
108	726	9275
109	733	9269
110	738	9246
111	744	9223
112	749	9200
113	754	9173
114	760	9156
115	765	9131
116	769	9090
117	771	9037
118	777	9019
119	781	8988
120	786	8964
121	789	8922
122	795	8903
123	799	8871
124	805	8858
125	809	8823
126	814	8800
127	819	8783
128	824	8765
129	830	8747
130	835	8728
131	836	8672
132	841	8650
133	845	8620
134	851	8613
135	856	8591
136	862	8578
137	867	8557
138	873	8553
139	878	8534
140	883	8515
141	886	8478
142	890	8453
143	895	8437
144	901	8421
145	906	8403
146	912	8395
147	917	8378
148	922	8364
149	928	8352
150	933	8340
151	938	8326
152	944	8312
153	949	8296
154	954	8281
155	959	8266
156	964	8246
157	969	8235
158	975	8225
159	981	8217
160	987	8213
161	992	8198
162	997	8181
163	1001	8159
164	1006	8146
165	1011	8130
166	1016	8113
167	1020	8094
168	1026	8085
169	1031	8072
170	1035	8050
171	1042	8045
172	1048	8039
173	1053	8024
174	1058	8013
175	1063	8003
176	1069	7996
177	1074	7982
178	1079	7970
179	1084	7953
180	1090	7944
181	1094	7928
182	1099	7915
183	1105	7903
184	1110	7891
185	1114	7873
186	1120	7867
187	1125	7855
188	1130	7842
189	1135	7829
190	1141	7823
191	1146	7812
192	1152	7801
193	1156	7786
194	1161	7770
195	1166	7758
196	1171	7747
197	1175	7732
198	1180	7717
199	1184	7699
200	1189	7689
201	1194	7676
202	1200	7668
203	1204	7653
204	1208	7634
205	1213	7621
206	1218	7610
207	1223	7601
208	1228	7590
209	1233	7577
210	1238	7564
211	1243	7555
212	1248	7546
213	1253	7534
214	1259	7527
215	1264	7516
216	1268	7499
217	1272	7484
218	1276	7467
219	1282	7460
220	1287	7449
221	1292	7440
222	1297	7428
223	1302	7419
224	1307	7406
225	1312	7396
226	1316	7382
227	1322	7375
228	1326	7363
229	1331	7351
230	1335	7335
231	1339	7323
232	1344	7312
233	1349	7299
234	1353	7287
235	1357	7272
236	1362	7262
237	1367	7253
238	1373	7245
239	1378	7238
240	1383	7229
241	1389	7222
242	1394	7211
243	1399	7202
244	1404	7196
245	1409	7186
246	1415	7182
247	1422	7182
248	1428	7175
249	1433	7166
250	1436	7148
251	1440	7131
252	1445	7123
253	1448	7105
254	1453	7095
255	1458	7086
256	1463	7079
257	1469	7072
258	1474	7064
259	1480	7062
260	1486	7054
261	1490	7042
262	1495	7032
263	1500	7024
264	1504	7011
265	1508	7000
266	1513	6989
267	1518	6982
268	1523	6971
269	1528	6964
270	1533	6954
271	1538	6947
272	1544	6941
273	1549	6934
274	1554	6926
275	1559	6917
276	1565	6912
277	1583	6960
278	1595	6983
279	1608	7007
280	1618	7021
281	1629	7035
282	1638	7045
283	1645	7044
284	1653	7047
285	1662	7056
286	1669	7055
287	1677	7059
288	1683	7052
289	1688	7043
290	1693	7037
291	1698	7026
292	1703	7017
293	1708	7009
294	1713	7000
295	1718	6991
296	1724	6984
297	1729	6975
298	1734	6966
299	1739	6956
300	1743	6946
301	1748	6936
302	1753	6927
303	1757	6914
304	1762	6905
305	1766	6893
306	1771	6883
307	1774	6867
308	1779	6857
309	1782	6844
310	1787	6832
311	1791	6823
312	1804	6843
313	1818	6867
314	1830	6886
315	1842	6902
316	1853	6917
317	1861	6920
318	1871	6926
319	1877	6924
320	1885	6924
321	1891	6921
322	1898	6918
323	1903	6910
324	1909	6904
325	1915	6899
326	1922	6896
327	1929	6894
328	1934	6885
329	1939	6877
330	1944	6866
331	1949	6858
332	1956	6855
333	1963	6854
334	1969	6849
335	1974	6841
336	1978	6829
337	1984	6821
338	1988	6810
339	1992	6799
340	1996	6786
341	2001	6777
342	2006	6767
343	2011	6758
344	2015	6746
345	2021	6740
