locality,unified_locality
antwerpen,antwerpen
ixelles,ixelles
deurne,veurne
uccle,uccle
kluisbergen,kluisbergen
engis,engis
dilbeek,dilbeek
berchem,merchtem
edegem,edegem
deurne,veurne
lier,lier
puurs,puurs
berchem,merchtem
antwerpen,antwerpen
ans,ans
meerdonk,meerdonk
gent mariakerke,gent mariakerke
wortegem-petegem,wortegem-petegem
turnhout,turnhout
saint-josse-ten-noode,saint-josse-ten-noode
mortsel,mortsel
borgerhout,borgerhout
herent,herent
sint-niklaas,sint-niklaas
uccle,uccle
wortegem-petegem,wortegem-petegem
antwerpen,antwerpen
woluwe-saint-pierre,woluwe-saint-pierre
aarschot,aarschot
kapelle-op-den-bos,kapelle-op-den-bos
deurne,veurne
tielt,tielt
woluwe-saint-pierre,woluwe-saint-pierre
herstal,herstal
borgerhout,borgerhout
borgerhout,borgerhout
borgerhout,borgerhout
pelt,pelt
deerlijk,deerlijk
gent drongen,gent drongen
brakel,brakel
molenbeek-saint-jean,molenbeek-saint-jean
brasschaat,brasschaat
ronse,ronse
herzele,herzele
saint-gilles,saint-gilles
berchem,merchtem
kluisbergen,kluisbergen
ekeren,ekeren
ekeren,ekeren
wezembeek-oppem,wezembeek-oppem
deurne,veurne
antwerpen,antwerpen
deurne,veurne
ganshoren,ganshoren
antwerpen,antwerpen
deurne,veurne
uccle,uccle
ixelles,ixelles
deurne,veurne
grâce-hollogne,grâce-hollogne
berchem,merchtem
uccle,uccle
dessel,dessel
kapelle-op-den-bos,kapelle-op-den-bos
sint-pieters-leeuw,sint-pieters-leeuw
auderghem,auderghem
leuven,leuven
brussels,brussel
lier,lier
woluwe-saint-pierre,woluwe-saint-pierre
gent,gent
deurne,veurne
deurne,veurne
wommelgem,wommelgem
deurne,veurne
auderghem,auderghem
herzele,herzele
brakel,brakel
aalst,aalst
borgerhout,borgerhout
oudenaarde,oudenaarde
deurne,veurne
brecht,brecht
serskamp,serskamp
lochristi,lochristi
woluwe-saint-pierre,woluwe-saint-pierre
borgerhout,borgerhout
bouillon,bouillon
sint-katelijne-waver,sint-katelijne-waver
brecht,brecht
harelbeke,harelbeke
waregem,waregem
evere,evere
molenbeek-saint-jean,molenbeek-saint-jean
etterbeek,etterbeek
uccle,uccle
lier,lier
herstal,herstal
anzegem,anzegem
auderghem,auderghem
kraainem,kraainem
deurne,veurne
lint,lint
antwerpen,antwerpen
lint,lint
antwerpen,antwerpen
antwerpen,antwerpen
bruxelles,bruxelles
wetteren,wetteren
kessel,dessel
fléron,fléron
sint-martens-latem,sint-martens-latem
beerzel,beersel
gent,gent
laken (bru.),laken
woluwe-saint-pierre,woluwe-saint-pierre
niel,niel
lummen,lummen
borgerhout,borgerhout
zwijndrecht,zwijndrecht
deurne,veurne
oostende,oostende
veltem-beisem,veltem-beisem
laeken,laeken
jette,jette
ledeberg,ledeberg
saint-gilles,saint-gilles
trooz,trooz
lubbeek,lubbeek
ekeren,ekeren
nijlen,nijlen
